index,name,position,active_from,active_to,college,college_start_year,college_end_year,url,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,draft_pick,draft_team,draft_year,C-G,C-MP,C-FG,C-FGA,C-3P,C-3PA,C-FT,C-FTA,C-ORB,C-TRB,C-AST,C-STL,C-BLK,C-TOV,C-PF,C-PTS,C-FG%,C-3P%,C-FT%
0,Álex Abrines,G-F,2017,2019,,,,https://www.basketball-reference.com/players/a/abrinal01.html,174,16,16.0,1.8,4.5,.387,1.3,3.4,.368,0.5,1.1,.443,.525,0.5,0.6,.880,0.3,1.1,1.4,0.5,0.5,0.1,0.4,1.7,5.3,"2nd round (2nd pick, 32nd overall)",Oklahoma City Thunder,2013 NBA Draft,,,,,,,,,,,,,,,,,,,
1,Precious Achiuwa,F,2021,2022,Memphis,2019-20,,https://www.basketball-reference.com/players/a/achiupr01.html,134,32,18.4,2.9,6.2,.468,0.4,1.2,.357,2.5,5.0,.494,.502,1.0,1.8,.556,1.6,3.4,5.1,0.8,0.4,0.5,0.9,1.8,7.2,"1st round (20th pick, 20th overall)",Miami Heat,2020 NBA Draft,31,30.4,182,369,13,40,112,187,93,10.8,1.0,34,58,87,73,15.8,.493,.325,.599
2,Quincy Acy,F-C,2013,2019,Baylor,2008-09,2011-12,https://www.basketball-reference.com/players/a/acyqu01.html,337,60,16.0,1.7,3.9,.444,0.5,1.6,.350,1.2,2.3,.506,.513,0.9,1.1,.759,0.9,2.6,3.5,0.6,0.4,0.4,0.6,2.0,4.9,"2nd round (7th pick, 37th overall)",Toronto Raptors,2012 NBA Draft,139,27.9,503,835,3,7,351,496,251,6.0,0.6,102,177,214,280,9.8,.602,.429,.708
3,Jaylen Adams,G,2019,2021,St. Bonaventure,2014-15,2017-18,https://www.basketball-reference.com/players/a/adamsja01.html,41,1,10.9,1.0,2.9,.331,0.6,1.9,.329,0.3,1.0,.333,.436,0.2,0.2,.778,0.3,1.3,1.5,1.6,0.3,0.1,0.7,1.1,2.7,Undrafted,Undrafted,Undrafted,110,36.3,532,1246,270,685,578,690,59,3.4,5.4,170,22,314,291,17.4,.427,.394,.838
4,Jordan Adams,G,2015,2016,UCLA,2012-13,2013-14,https://www.basketball-reference.com/players/a/adamsjo01.html,32,0,8.2,1.2,2.9,.402,0.3,0.8,.385,0.8,2.1,.409,.457,0.5,0.9,.607,0.3,0.7,0.9,0.6,0.6,0.2,0.5,0.8,3.2,"1st round (22nd pick, 22nd overall)",Memphis Grizzlies,2014 NBA Draft,69,30.2,373,798,98,296,287,342,88,4.6,2.1,168,17,94,147,16.4,.467,.331,.839
5,Steven Adams,C,2014,2022,Pittsburgh,2012-13,,https://www.basketball-reference.com/players/a/adamsst01.html,664,599,26.8,3.8,6.6,.587,0.0,0.0,.071,3.8,6.5,.588,.587,1.6,2.9,.547,3.6,4.4,8.0,1.5,0.9,0.9,1.4,2.5,9.3,"1st round (12th pick, 12th overall)",Oklahoma City Thunder,2013 NBA Draft,32,23.4,100,175,0,0,31,70,90,6.3,0.6,21,65,35,52,7.2,.571,,.443
6,Bam Adebayo,C-F,2018,2022,Kentucky,2016-17,,https://www.basketball-reference.com/players/a/adebaba01.html,343,239,28.2,5.1,9.2,.558,0.0,0.1,.140,5.1,9.0,.565,.559,3.2,4.3,.741,2.2,6.2,8.3,3.5,1.0,0.9,2.1,2.4,13.5,"1st round (14th pick, 14th overall)",Miami Heat,2017 NBA Draft,38,30.1,170,284,0,0,154,236,118,8.0,0.8,26,57,64,99,13.0,.599,,.653
7,Deng Adel,F,2019,2019,Louisville,2015-16,2017-18,https://www.basketball-reference.com/players/a/adelde01.html,19,3,10.2,0.6,1.9,.306,0.3,1.2,.261,0.3,0.7,.385,.389,0.2,0.2,1.000,0.2,0.8,1.0,0.3,0.1,0.2,0.3,0.7,1.7,Undrafted,Undrafted,Undrafted,89,26.8,350,799,101,290,197,254,55,4.1,2.0,47,24,148,133,11.2,.438,.348,.776
8,Jeff Adrien,F,2011,2015,UConn,2005-06,2008-09,https://www.basketball-reference.com/players/a/adrieje01.html,153,17,14.0,1.7,3.6,.474,0.0,0.0,.000,1.7,3.6,.476,.474,1.2,1.9,.628,1.4,2.9,4.3,0.7,0.3,0.5,0.6,1.7,4.6,Undrafted,Undrafted,Undrafted,133,,602,1169,2,6,397,655,,8.5,1.1,78,152,154,,12.1,.515,.333,.606
9,Josh Akognon,G,2013,2013,"Washington State, Cal State Fullerton",2004-05,2008-09,https://www.basketball-reference.com/players/a/akognjo01.html,3,0,3.0,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7,Undrafted,Undrafted,Undrafted,119,,597,1462,335,900,276,317,,2.6,1.3,104,13,139,,15.2,.408,.372,.871
10,DeVaughn Akoon-Purcell,G,2019,2019,Illinois State,2014-15,2015-16,https://www.basketball-reference.com/players/a/akoonde01.html,7,0,3.1,0.4,1.4,.300,0.0,0.6,.000,0.4,0.9,.500,.300,0.1,0.3,.500,0.1,0.4,0.6,0.9,0.3,0.0,0.3,0.6,1.0,Undrafted,Undrafted,Undrafted,60,27.2,275,642,49,163,209,283,101,5.3,1.6,58,18,140,114,13.5,.428,.301,.739
11,Solomon Alabi,C,2011,2012,Florida State,2007-08,2009-10,https://www.basketball-reference.com/players/a/alabiso01.html,26,0,7.0,0.6,2.0,.314,0.0,0.0,,0.6,2.0,.314,.314,0.3,0.4,.700,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5,"2nd round (20th pick, 50th overall)",Dallas Mavericks,2010 NBA Draft,77,25.6,270,506,0,1,164,220,79,5.4,0.4,39,159,128,75,9.1,.534,.000,.745
12,Santi Aldama,F,2022,2022,Loyola (MD),2019-20,2020-21,https://www.basketball-reference.com/players/a/aldamsa01.html,32,0,11.3,1.7,4.1,.402,0.2,1.5,.125,1.5,2.6,.560,.424,0.6,1.0,.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,"1st round (30th pick, 30th overall)",Utah Jazz,2021 NBA Draft,27,33.3,196,396,45,147,76,119,46,9.2,2.2,26,46,78,55,19.0,.495,.306,.639
13,Furkan Aldemir,F-C,2015,2015,,,,https://www.basketball-reference.com/players/a/aldemfu01.html,41,9,13.2,1.0,1.9,.513,0.0,0.1,.000,1.0,1.8,.548,.513,0.3,0.7,.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3,"2nd round (23rd pick, 53rd overall)",Los Angeles Clippers,2012 NBA Draft,,,,,,,,,,,,,,,,,,,
14,Cole Aldrich,C,2011,2018,Kansas,2007-08,2009-10,https://www.basketball-reference.com/players/a/aldrico01.html,339,23,10.0,1.3,2.4,.527,0.0,0.0,,1.3,2.4,.527,.527,0.5,0.7,.738,1.0,2.4,3.3,0.5,0.4,0.7,0.6,1.5,3.1,"1st round (11th pick, 11th overall)",New Orleans Hornets,2010 NBA Draft,111,26.8,391,681,0,0,256,351,110,7.7,0.6,59,253,133,92,9.4,.574,,.729
15,Cliff Alexander,F,2016,2016,Kansas,2014-15,,https://www.basketball-reference.com/players/a/alexacl01.html,8,0,4.5,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.0,0.0,,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3,Undrafted,Undrafted,Undrafted,28,17.6,73,129,0,0,53,79,55,5.3,0.4,5,37,28,57,7.1,.566,,.671
16,Kyle Alexander,F,2020,2020,Tennessee,2015-16,2018-19,https://www.basketball-reference.com/players/a/alexaky01.html,2,0,6.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0,Undrafted,Undrafted,Undrafted,135,17.8,243,414,5,14,132,207,288,4.9,0.3,47,185,98,290,4.6,.587,.357,.638
17,Ty-Shon Alexander,G,2021,2021,Creighton,2017-18,2019-20,https://www.basketball-reference.com/players/a/alexaty01.html,15,0,3.1,0.2,0.8,.250,0.1,0.6,.222,0.1,0.2,.333,.333,0.1,0.1,.500,0.1,0.5,0.7,0.4,0.0,0.1,0.2,0.1,0.6,Undrafted,Undrafted,Undrafted,98,28.2,400,957,210,565,231,284,31,3.7,2.3,91,22,152,154,12.7,.418,.372,.813
18,Nickeil Alexander-Walker,G,2020,2022,Virginia Tech,2017-18,2018-19,https://www.basketball-reference.com/players/a/alexani01.html,158,35,19.4,3.4,8.9,.387,1.4,4.4,.329,2.0,4.5,.443,.468,1.0,1.3,.726,0.4,2.3,2.6,2.2,0.7,0.3,1.4,1.6,9.3,"1st round (17th pick, 17th overall)",Brooklyn Nets,2019 NBA Draft,67,29.9,314,677,116,303,158,207,39,4.0,2.7,92,36,149,127,13.5,.464,.383,.763
19,Rawle Alkins,G,2019,2019,Arizona,2016-17,2017-18,https://www.basketball-reference.com/players/a/alkinra01.html,10,1,12.0,1.3,3.9,.333,0.3,1.2,.250,1.0,2.7,.370,.372,0.8,1.2,.667,1.1,1.5,2.6,1.3,0.1,0.0,0.8,0.7,3.7,Undrafted,Undrafted,Undrafted,60,29.3,242,538,77,211,145,199,100,4.9,2.2,62,34,126,131,11.8,.450,.365,.729
20,Grayson Allen,G,2019,2022,Duke,2014-15,2017-18,https://www.basketball-reference.com/players/a/allengr01.html,192,101,21.9,3.2,7.4,.433,1.8,4.7,.393,1.3,2.7,.505,.559,1.2,1.4,.841,0.3,2.2,2.6,1.5,0.6,0.2,0.8,1.4,9.4,"1st round (21st pick, 21st overall)",Utah Jazz,2018 NBA Draft,142,27.9,606,1409,291,766,493,591,76,3.2,3.0,147,14,240,297,14.1,.430,.380,.834
21,Jarrett Allen,C-F,2018,2022,Texas,2016-17,,https://www.basketball-reference.com/players/a/allenja01.html,341,276,26.6,4.5,7.2,.626,0.1,0.3,.189,4.5,6.9,.644,.630,2.5,3.6,.699,2.8,5.9,8.7,1.4,0.5,1.4,1.3,2.0,11.6,"1st round (22nd pick, 22nd overall)",Brooklyn Nets,2017 NBA Draft,33,32.2,179,316,0,7,84,149,100,8.4,0.8,19,51,84,68,13.4,.566,.000,.564
22,Kadeem Allen,G,2018,2020,Arizona,2015-16,2016-17,https://www.basketball-reference.com/players/a/allenka01.html,47,2,13.6,1.9,4.4,.435,0.5,1.3,.349,1.4,3.1,.472,.488,1.2,1.6,.757,0.3,1.2,1.5,2.3,0.5,0.2,0.9,1.4,5.5,"2nd round (23rd pick, 53rd overall)",Boston Celtics,2017 NBA Draft,68,27.5,207,451,50,125,153,211,20,3.6,3.3,88,48,133,165,9.1,.459,.400,.725
23,Lavoy Allen,F-C,2012,2017,Temple,2007-08,2010-11,https://www.basketball-reference.com/players/a/allenla01.html,388,87,17.8,2.1,4.5,.471,0.0,0.0,.133,2.1,4.5,.474,.472,0.5,0.7,.682,1.8,2.9,4.8,1.0,0.3,0.6,0.7,1.8,4.8,"2nd round (20th pick, 50th overall)",Philadelphia 76ers,2011 NBA Draft,135,34.2,592,1109,19,66,218,325,212,8.5,2.1,72,213,189,153,10.5,.534,.288,.671
24,Jose Alvarado,G,2022,2022,Georgia Tech,2017-18,2020-21,https://www.basketball-reference.com/players/a/alvarjo01.html,54,1,15.4,2.4,5.4,.446,0.6,2.0,.291,1.8,3.4,.538,.500,0.7,1.0,.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1,Undrafted,Undrafted,Undrafted,106,34.9,491,1106,172,505,275,348,64,3.6,3.6,226,8,240,267,13.5,.444,.341,.790
25,Al-Farouq Aminu,F,2011,2021,Wake Forest,2008-09,2009-10,https://www.basketball-reference.com/players/a/aminual01.html,711,445,24.9,2.7,6.5,.420,0.8,2.3,.332,2.0,4.2,.467,.478,1.3,1.7,.746,1.4,4.6,6.0,1.2,1.0,0.6,1.2,1.8,7.5,"1st round (8th pick, 8th overall)",Los Angeles Clippers,2010 NBA Draft,62,31.3,313,657,25,105,241,351,133,9.4,1.4,74,82,180,91,14.4,.476,.238,.687
26,David Andersen,C,2010,2011,,,,https://www.basketball-reference.com/players/a/anderda03.html,103,0,12.3,2.0,4.5,.440,0.3,1.0,.347,1.6,3.5,.467,.478,0.6,0.9,.674,0.7,2.1,2.8,0.6,0.2,0.2,0.6,1.5,4.9,"2nd round (8th pick, 37th overall)",Atlanta Hawks,2002 NBA Draft,,,,,,,,,,,,,,,,,,,
27,Antonio Anderson,G,2010,2010,Memphis,2005-06,2008-09,https://www.basketball-reference.com/players/a/anderan02.html,1,0,15.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,Undrafted,Undrafted,Undrafted,150,,433,1036,137,445,273,421,,4.0,3.6,217,49,137,,8.5,.418,.308,.648
28,James Anderson,G-F,2011,2016,Oklahoma State,2007-08,2009-10,https://www.basketball-reference.com/players/a/anderja01.html,247,83,17.5,2.1,5.2,.411,0.8,2.5,.321,1.3,2.7,.495,.488,0.7,0.9,.755,0.4,1.8,2.3,1.2,0.5,0.2,0.9,1.2,5.8,"1st round (20th pick, 20th overall)",San Antonio Spurs,2010 NBA Draft,101,34.1,583,1268,225,600,420,527,64,5.1,1.6,112,60,212,88,17.9,.460,.375,.797
29,Justin Anderson,G,2016,2022,Virginia,2012-13,2014-15,https://www.basketball-reference.com/players/a/anderju01.html,242,30,13.6,1.9,4.6,.410,0.7,2.3,.292,1.2,2.3,.526,.482,0.9,1.2,.775,0.6,2.0,2.6,0.8,0.4,0.3,0.6,1.2,5.3,"1st round (21st pick, 21st overall)",Dallas Mavericks,2015 NBA Draft,98,24.1,288,669,97,272,200,266,75,3.5,1.8,60,84,125,137,8.9,.430,.357,.752
30,Kyle Anderson,F-G,2015,2022,UCLA,2012-13,2013-14,https://www.basketball-reference.com/players/a/anderky01.html,505,248,21.0,2.6,5.5,.476,0.4,1.3,.334,2.2,4.2,.519,.515,1.0,1.4,.711,0.7,3.7,4.4,2.3,1.0,0.6,1.0,1.5,6.7,"1st round (30th pick, 30th overall)",San Antonio Spurs,2014 NBA Draft,71,31.6,303,670,36,96,223,303,119,8.7,5.0,126,58,183,132,12.2,.452,.375,.736
31,Ike Anigbogu,F-C,2018,2019,UCLA,2016-17,,https://www.basketball-reference.com/players/a/anigbik01.html,14,0,2.6,0.3,0.9,.333,0.0,0.0,,0.3,0.9,.333,.333,0.4,0.4,.833,0.4,0.4,0.9,0.1,0.1,0.3,0.2,0.1,0.9,"2nd round (17th pick, 47th overall)",Indiana Pacers,2017 NBA Draft,29,13.0,57,101,0,0,23,43,41,4.0,0.2,5,35,24,72,4.7,.564,,.535
32,Giannis Antetokounmpo,F-G,2014,2022,,,,https://www.basketball-reference.com/players/a/antetgi01.html,656,591,32.6,7.9,14.8,.535,0.7,2.4,.288,7.2,12.4,.582,.558,5.3,7.4,.718,1.7,7.7,9.4,4.6,1.2,1.3,2.9,3.0,21.8,"1st round (15th pick, 15th overall)",Milwaukee Bucks,2013 NBA Draft,,,,,,,,,,,,,,,,,,,
33,Kostas Antetokounmpo,F,2019,2021,Dayton,2017-18,,https://www.basketball-reference.com/players/a/antetko01.html,22,0,4.0,0.3,0.7,.375,0.0,0.0,,0.3,0.7,.375,.375,0.4,0.9,.474,0.3,0.8,1.0,0.1,0.2,0.2,0.6,0.5,1.0,"2nd round (30th pick, 60th overall)",Philadelphia 76ers,2018 NBA Draft,29,15.1,58,101,2,15,33,64,24,2.9,0.4,7,31,39,66,5.2,.574,.133,.516
34,Thanasis Antetokounmpo,F,2016,2022,,,,https://www.basketball-reference.com/players/a/antetth01.html,127,11,9.1,1.3,2.5,.517,0.1,0.4,.167,1.2,2.1,.589,.532,0.5,0.9,.545,0.8,1.1,2.0,0.7,0.4,0.2,0.6,1.3,3.1,"2nd round (21st pick, 51st overall)",New York Knicks,2014 NBA Draft,,,,,,,,,,,,,,,,,,,
35,Cole Anthony,G,2021,2022,UNC,2019-20,,https://www.basketball-reference.com/players/a/anthoco01.html,112,99,29.8,5.1,13.1,.393,1.7,5.0,.337,3.4,8.0,.428,.458,2.9,3.4,.846,0.6,4.5,5.1,5.0,0.7,0.3,2.5,2.4,14.9,"1st round (15th pick, 15th overall)",Orlando Magic,2020 NBA Draft,22,34.9,131,345,49,141,96,128,10,5.7,4.0,29,6,77,64,18.5,.380,.348,.750
36,Pero Antić,C-F,2014,2015,,,,https://www.basketball-reference.com/players/a/anticpe01.html,113,29,17.4,2.0,5.2,.392,1.0,3.0,.314,1.1,2.2,.500,.483,1.2,1.7,.730,1.0,2.5,3.5,0.9,0.3,0.2,0.9,2.3,6.3,Undrafted,Undrafted,Undrafted,,,,,,,,,,,,,,,,,,,
37,OG Anunoby,F,2018,2022,Indiana,2015-16,2016-17,https://www.basketball-reference.com/players/a/anunoog01.html,301,227,26.8,4.0,8.4,.470,1.5,4.0,.372,2.5,4.4,.559,.558,1.0,1.5,.709,1.0,3.1,4.1,1.4,1.1,0.5,1.1,2.3,10.4,"1st round (23rd pick, 23rd overall)",Toronto Raptors,2017 NBA Draft,50,17.4,134,238,27,74,47,90,70,3.5,0.8,48,47,54,85,6.8,.563,.365,.522
38,Keith Appling,G,2016,2016,Michigan State,2010-11,2013-14,https://www.basketball-reference.com/players/a/applike01.html,5,0,5.4,0.4,1.6,.250,0.0,0.6,.000,0.4,1.0,.400,.250,0.4,0.4,1.000,0.0,0.2,0.2,0.2,0.2,0.0,0.6,1.0,1.2,Undrafted,Undrafted,Undrafted,142,29.8,491,1140,138,413,389,520,63,3.0,3.3,151,65,296,345,10.6,.431,.334,.748
39,Ryan Arcidiacono,G,2018,2022,Villanova,2012-13,2015-16,https://www.basketball-reference.com/players/a/arcidry01.html,217,36,17.1,1.6,3.7,.432,0.8,2.1,.374,0.8,1.6,.509,.539,0.6,0.8,.807,0.2,1.7,2.0,2.1,0.5,0.0,0.6,1.6,4.6,Undrafted,Undrafted,Undrafted,144,31.9,487,1228,261,729,369,461,44,2.3,3.7,169,4,253,282,11.1,.397,.358,.800
40,Jamel Artis,G-F,2018,2018,Pittsburgh,2013-14,2016-17,https://www.basketball-reference.com/players/a/artisja01.html,15,1,18.6,2.1,5.3,.392,0.5,1.9,.276,1.5,3.3,.460,.443,0.5,0.8,.583,0.3,2.3,2.5,1.2,0.1,0.2,0.5,0.7,5.1,Undrafted,Undrafted,Undrafted,135,27.6,579,1231,170,450,368,485,186,4.6,2.3,63,42,252,237,12.6,.470,.378,.759
41,Ömer Aşık,C,2011,2018,,,,https://www.basketball-reference.com/players/a/asikom01.html,471,262,19.6,2.0,3.8,.528,0.0,0.0,.000,2.0,3.8,.528,.528,1.2,2.3,.551,2.2,4.9,7.1,0.6,0.4,0.7,1.2,2.0,5.3,"2nd round (6th pick, 36th overall)",Portland Trail Blazers,2008 NBA Draft,,,,,,,,,,,,,,,,,,,
42,Deni Avdija,G-F,2021,2022,,,,https://www.basketball-reference.com/players/a/avdijde01.html,136,40,23.8,2.8,6.6,.426,1.0,3.1,.316,1.8,3.4,.528,.502,1.0,1.3,.729,0.5,4.5,5.1,1.7,0.7,0.4,0.9,2.4,7.6,"1st round (9th pick, 9th overall)",Washington Wizards,2020 NBA Draft,,,,,,,,,,,,,,,,,,,
43,Joel Ayayi,G,2022,2022,Gonzaga,2018-19,2020-21,https://www.basketball-reference.com/players/a/ayayijo01.html,7,0,2.9,0.1,0.9,.167,0.0,0.1,.000,0.1,0.7,.200,.167,0.0,0.0,,0.1,0.3,0.4,0.6,0.0,0.0,0.0,0.0,0.3,Undrafted,Undrafted,Undrafted,88,23.8,295,558,81,225,104,134,106,5.2,2.3,82,14,99,143,8.8,.529,.360,.776
44,Gustavo Ayón,C,2012,2014,,,,https://www.basketball-reference.com/players/a/ayongu01.html,135,41,16.7,2.1,3.9,.536,0.0,0.0,.000,2.1,3.9,.537,.536,0.5,1.0,.504,1.4,3.0,4.4,1.3,0.7,0.5,0.9,2.0,4.7,Undrafted,Undrafted,Undrafted,,,,,,,,,,,,,,,,,,,
45,Jeff Ayres,F,2010,2016,Arizona State,2005-06,2008-09,https://www.basketball-reference.com/players/p/pendeje02.html,237,15,9.8,1.2,2.2,.553,0.0,0.0,.400,1.2,2.2,.554,.555,0.5,0.6,.776,0.8,1.8,2.7,0.4,0.2,0.3,0.6,1.5,2.9,"2nd round (1st pick, 31st overall)",Sacramento Kings,2009 NBA Draft,126,,611,1054,0,9,366,479,,7.5,0.8,62,131,110,,12.6,.580,.000,.764
46,Deandre Ayton,C,2019,2022,Arizona,2017-18,,https://www.basketball-reference.com/players/a/aytonde01.html,236,229,30.7,7.2,12.0,.599,0.1,0.2,.250,7.1,11.7,.606,.602,1.9,2.5,.754,3.2,7.4,10.5,1.6,0.7,1.0,1.7,2.8,16.3,"1st round (1st pick, 1st overall)",Phoenix Suns,2018 NBA Draft,35,33.5,276,451,12,35,140,191,118,11.6,1.6,20,66,69,81,20.1,.612,.343,.733
47,Udoka Azubuike,C,2021,2022,Kansas,2016-17,2019-20,https://www.basketball-reference.com/players/a/azubuud01.html,32,6,7.9,1.3,1.8,.707,0.0,0.0,,1.3,1.8,.707,.707,0.4,0.7,.667,0.7,1.9,2.6,0.0,0.1,0.5,0.5,1.1,3.0,"1st round (27th pick, 27th overall)",Utah Jazz,2020 NBA Draft,87,23.4,469,629,0,0,131,315,227,7.9,0.7,41,172,172,240,12.3,.746,,.416
48,Chris Babb,G,2014,2014,"Penn State, Iowa State",2008-09,2012-13,https://www.basketball-reference.com/players/b/babbch01.html,14,0,9.4,0.6,2.1,.267,0.4,1.9,.222,0.1,0.2,.667,.367,0.0,0.0,,0.3,0.9,1.2,0.2,0.4,0.0,0.2,0.9,1.6,Undrafted,Undrafted,Undrafted,130,31.9,302,802,220,613,118,161,77,3.0,1.7,102,24,102,137,7.2,.377,.359,.733
49,Luke Babbitt,F,2011,2018,Nevada,2008-09,2009-10,https://www.basketball-reference.com/players/b/babbilu01.html,381,107,14.0,1.7,4.2,.408,1.0,2.6,.402,0.7,1.6,.417,.532,0.3,0.4,.747,0.3,1.9,2.2,0.6,0.2,0.2,0.4,1.4,4.8,"1st round (16th pick, 16th overall)",Minnesota Timberwolves,2010 NBA Draft,68,37.1,445,927,75,178,351,393,70,8.1,1.8,59,51,146,87,19.4,.480,.421,.893
50,Dwayne Bacon,G,2018,2021,Florida State,2015-16,2016-17,https://www.basketball-reference.com/players/b/bacondw01.html,207,80,19.4,2.8,6.9,.402,0.6,2.0,.314,2.1,4.9,.437,.447,1.1,1.4,.780,0.3,2.3,2.6,1.1,0.5,0.1,0.6,1.3,7.3,"2nd round (10th pick, 40th overall)",New Orleans Pelicans,2017 NBA Draft,69,28.8,418,930,89,285,214,292,81,5.0,1.6,68,5,145,128,16.5,.449,.312,.733
51,Marvin Bagley III,F-C,2019,2022,Duke,2017-18,,https://www.basketball-reference.com/players/b/baglema01.html,166,77,25.1,5.5,10.9,.501,0.6,1.9,.291,4.9,9.0,.546,.527,2.1,3.2,.663,2.4,5.0,7.4,0.9,0.5,0.7,1.3,2.1,13.6,"1st round (2nd pick, 2nd overall)",Sacramento Kings,2018 NBA Draft,33,33.9,270,440,23,58,131,209,132,11.1,1.5,27,29,75,60,21.0,.614,.397,.627
52,Cameron Bairstow,F-C,2015,2016,New Mexico,2010-11,2013-14,https://www.basketball-reference.com/players/b/bairsca01.html,36,3,4.6,0.4,1.5,.296,0.0,0.1,.200,0.4,1.4,.306,.306,0.3,0.4,.846,0.3,0.7,1.0,0.2,0.1,0.1,0.2,0.8,1.2,"2nd round (19th pick, 49th overall)",Chicago Bulls,2014 NBA Draft,134,20.8,418,808,2,6,401,559,234,4.8,0.8,62,99,157,282,9.2,.517,.333,.717
53,Ron Baker,G,2017,2019,Wichita State,2012-13,2015-16,https://www.basketball-reference.com/players/b/bakerro01.html,96,14,14.5,1.1,3.1,.358,0.4,1.4,.265,0.7,1.7,.433,.417,0.6,0.8,.707,0.2,1.3,1.4,1.8,0.7,0.2,0.8,1.3,3.1,Undrafted,Undrafted,Undrafted,124,30.6,522,1205,242,655,350,437,99,4.2,2.8,163,76,177,215,13.2,.433,.369,.801
54,Wade Baldwin,G,2017,2019,Vanderbilt,2014-15,2015-16,https://www.basketball-reference.com/players/b/baldwwa01.html,56,1,10.3,1.1,3.0,.355,0.2,0.6,.250,0.9,2.4,.383,.382,0.8,1.0,.776,0.3,1.0,1.2,1.4,0.4,0.2,1.0,1.1,3.1,"1st round (17th pick, 17th overall)",Memphis Grizzlies,2016 NBA Draft,68,29.6,234,543,84,199,240,300,30,4.1,4.8,90,15,158,171,11.6,.431,.422,.800
55,LaMelo Ball,G,2021,2022,,,,https://www.basketball-reference.com/players/b/ballla01.html,126,106,30.9,6.6,15.3,.431,2.5,6.6,.378,4.1,8.7,.472,.512,2.7,3.2,.826,1.4,5.0,6.4,7.0,1.6,0.4,3.1,3.0,18.3,"1st round (3rd pick, 3rd overall)",Charlotte Hornets,2020 NBA Draft,,,,,,,,,,,,,,,,,,,
56,Lonzo Ball,G,2018,2022,UCLA,2016-17,,https://www.basketball-reference.com/players/b/balllo01.html,252,239,32.5,4.4,11.1,.400,2.4,6.5,.364,2.1,4.6,.451,.507,0.7,1.1,.578,1.0,4.7,5.7,6.2,1.6,0.6,2.5,2.2,11.9,"1st round (2nd pick, 2nd overall)",Los Angeles Lakers,2017 NBA Draft,36,35.1,189,343,80,194,66,98,33,6.0,7.6,66,28,89,65,14.6,.551,.412,.673
57,Mo Bamba,C,2019,2022,Texas,2017-18,,https://www.basketball-reference.com/players/b/bambamo01.html,226,75,18.6,3.0,6.4,.475,0.9,2.5,.352,2.1,3.9,.556,.545,0.8,1.1,.685,1.7,4.4,6.1,0.9,0.4,1.4,0.9,2.2,7.7,"1st round (6th pick, 6th overall)",Orlando Magic,2018 NBA Draft,30,30.2,146,270,14,51,81,119,96,10.5,0.5,23,111,46,76,12.9,.541,.275,.681
58,Desmond Bane,G,2021,2022,TCU,2016-17,2019-20,https://www.basketball-reference.com/players/b/banede01.html,144,93,26.3,5.2,11.1,.464,2.4,5.5,.435,2.8,5.6,.493,.572,1.3,1.4,.882,0.5,3.2,3.8,2.3,0.9,0.3,1.2,2.2,14.0,"1st round (30th pick, 30th overall)",Boston Celtics,2020 NBA Draft,141,30.3,659,1331,249,575,217,270,137,4.7,2.4,132,54,220,306,12.7,.495,.433,.804
59,Dalano Banton,G-F,2022,2022,Nebraska,2018-19,2020-21,https://www.basketball-reference.com/players/b/bantoda01.html,64,1,10.9,1.3,3.2,.411,0.2,0.8,.255,1.1,2.4,.464,.443,0.4,0.7,.591,0.6,1.3,1.9,1.5,0.4,0.2,0.8,1.1,3.2,"2nd round (16th pick, 46th overall)",Toronto Raptors,2021 NBA Draft,58,20.8,129,316,28,118,77,122,43,4.3,2.9,40,41,119,83,6.3,.408,.237,.631
60,Cat Barber,G,2022,2022,NC State,2013-14,2015-16,https://www.basketball-reference.com/players/b/barbeca01.html,3,0,4.3,0.0,1.3,.000,0.0,0.0,,0.0,1.3,.000,.000,0.0,1.3,.000,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.3,0.0,Undrafted,Undrafted,Undrafted,104,31.3,500,1169,82,236,425,536,65,3.3,3.9,70,3,220,198,14.5,.428,.347,.793
