index,name,position,active_from,active_to,college,college_start_year,college_end_year,url,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,draft_pick,draft_team,draft_year,C-G,C-MP,C-FG,C-FGA,C-3P,C-3PA,C-FT,C-FTA,C-ORB,C-TRB,C-AST,C-STL,C-BLK,C-TOV,C-PF,C-PTS,C-FG%,C-3P%,C-FT%
341,Tim Frazier,G,2015,2022,Penn State,2009-10,2013-14,https://www.basketball-reference.com/players/f/fraziti01.html,289,84,17.6,1.8,4.4,.400,0.5,1.4,.323,1.3,3.0,.436,.451,0.9,1.2,.723,0.5,1.8,2.3,4.0,0.7,0.1,1.3,1.8,4.9,Undrafted,Undrafted,Undrafted,135,30.6,508,1214,74,239,453,585,115,3.9,4.7,196,20,355,342,11.4,.418,.310,.774
342,Jimmer Fredette,G,2012,2019,BYU,2007-08,2010-11,https://www.basketball-reference.com/players/f/fredeji01.html,241,7,13.3,2.2,5.3,.409,0.8,2.2,.372,1.4,3.2,.434,.484,0.8,0.9,.879,0.2,0.8,1.0,1.4,0.4,0.0,0.9,0.9,6.0,"1st round (10th pick, 10th overall)",Milwaukee Bucks,2011 NBA Draft,139,33.5,838,1843,296,752,627,711,49,2.6,3.7,167,12,350,85,18.7,.455,.394,.882
343,Enes Freedom,C,2012,2022,,,,https://www.basketball-reference.com/players/k/kanteen01.html,748,259,21.5,4.6,8.4,.548,0.1,0.2,.289,4.5,8.1,.555,.551,1.9,2.5,.777,3.0,4.8,7.8,0.9,0.4,0.5,1.4,2.1,11.2,"1st round (3rd pick, 3rd overall)",Utah Jazz,2011 NBA Draft,,,,,,,,,,,,,,,,,,,
344,Joel Freeland,F-C,2013,2015,,,,https://www.basketball-reference.com/players/f/freeljo01.html,151,9,12.1,1.4,3.0,.459,0.0,0.0,.000,1.4,3.0,.461,.459,0.4,0.5,.728,1.3,2.2,3.4,0.4,0.2,0.4,0.5,1.7,3.2,"1st round (30th pick, 30th overall)",Portland Trail Blazers,2006 NBA Draft,,,,,,,,,,,,,,,,,,,
345,Markelle Fultz,G,2018,2022,Washington,2016-17,,https://www.basketball-reference.com/players/f/fultzma01.html,131,86,24.8,4.5,10.1,.450,0.4,1.4,.262,4.2,8.7,.481,.468,1.4,2.0,.708,0.7,2.6,3.2,4.8,1.1,0.2,1.9,2.0,10.9,"1st round (1st pick, 1st overall)",Philadelphia 76ers,2017 NBA Draft,25,35.7,209,439,52,126,109,168,33,5.7,5.9,40,30,80,63,23.2,.476,.413,.649
346,Wenyen Gabriel,F,2020,2022,Kentucky,2016-17,2017-18,https://www.basketball-reference.com/players/g/gabriwe01.html,77,6,10.8,1.3,2.8,.454,0.4,1.0,.338,0.9,1.8,.522,.516,0.7,1.1,.630,1.0,1.6,2.6,0.4,0.3,0.3,0.6,1.8,3.6,Undrafted,Undrafted,Undrafted,75,20.3,147,345,62,169,69,111,126,5.1,0.6,41,74,70,204,5.7,.426,.367,.622
347,Daniel Gafford,F,2020,2022,Arkansas,2017-18,2018-19,https://www.basketball-reference.com/players/g/gaffoda01.html,169,71,16.8,3.2,4.6,.692,0.0,0.0,.000,3.2,4.6,.693,.692,1.2,1.9,.657,1.8,2.6,4.4,0.7,0.4,1.4,0.8,2.2,7.6,"2nd round (8th pick, 38th overall)",Chicago Bulls,2019 NBA Draft,67,25.5,378,595,0,0,199,354,168,7.4,0.7,49,141,113,202,14.3,.635,,.562
348,Sundiata Gaines,G,2010,2012,Georgia,2004-05,2007-08,https://www.basketball-reference.com/players/g/gainesu01.html,113,12,11.6,1.6,4.1,.397,0.4,1.3,.301,1.2,2.8,.442,.445,0.9,1.6,.562,0.4,1.1,1.5,1.8,0.7,0.0,0.8,0.9,4.5,Undrafted,Undrafted,Undrafted,123,,506,1230,121,400,336,569,,5.5,3.9,259,25,89,,11.9,.411,.303,.591
349,Langston Galloway,G,2015,2022,Saint Joseph's,2010-11,2013-14,https://www.basketball-reference.com/players/g/gallola01.html,452,62,21.8,2.9,7.3,.397,1.4,3.8,.368,1.5,3.4,.430,.494,0.9,1.1,.816,0.5,2.0,2.4,1.6,0.7,0.1,0.6,1.6,8.1,Undrafted,Undrafted,Undrafted,133,35.5,657,1501,343,806,334,407,130,4.5,2.2,171,66,156,327,15.0,.438,.426,.821
350,Patricio Garino,G-F,2017,2017,George Washington,2012-13,2015-16,https://www.basketball-reference.com/players/g/garinpa01.html,5,0,8.6,0.0,1.4,.000,0.0,1.0,.000,0.0,0.4,.000,.000,0.0,0.0,,0.2,1.2,1.4,0.0,0.0,0.0,0.6,0.8,0.0,Undrafted,Undrafted,Undrafted,129,30.1,567,1116,102,280,314,468,206,4.3,1.7,220,94,289,334,12.0,.508,.364,.671
351,Darius Garland,G,2020,2022,Vanderbilt,2018-19,,https://www.basketball-reference.com/players/g/garlada01.html,181,177,33.4,6.5,14.8,.443,2.1,5.6,.378,4.4,9.2,.483,.515,2.2,2.5,.876,0.5,2.1,2.6,6.3,1.1,0.1,3.1,1.8,17.4,"1st round (5th pick, 5th overall)",Cleveland Cavaliers,2019 NBA Draft,5,27.8,29,54,11,23,12,16,2,3.8,2.6,4,2,15,7,16.2,.537,.478,.750
352,Billy Garrett,G,2019,2019,DePaul,2013-14,2016-17,https://www.basketball-reference.com/players/g/garrebi01.html,4,0,15.8,2.8,6.8,.407,0.0,2.0,.000,2.8,4.8,.579,.407,1.0,1.0,1.000,0.0,0.8,0.8,1.8,0.3,0.3,0.5,0.8,6.5,Undrafted,Undrafted,Undrafted,125,29.2,463,1199,141,437,565,672,36,2.7,3.5,108,24,321,344,13.1,.386,.323,.841
353,Diante Garrett,G,2013,2014,Iowa State,2007-08,2010-11,https://www.basketball-reference.com/players/g/garredi02.html,90,0,13.3,1.3,3.5,.373,0.4,1.2,.351,0.9,2.3,.384,.435,0.2,0.2,.682,0.2,1.1,1.2,1.7,0.6,0.1,1.0,0.9,3.2,Undrafted,Undrafted,Undrafted,128,34.2,505,1240,98,330,256,351,25,2.8,4.8,153,20,362,118,10.7,.407,.297,.729
354,Marcus Garrett,G,2022,2022,Kansas,2017-18,2020-21,https://www.basketball-reference.com/players/g/garrema01.html,12,0,10.7,0.4,1.8,.238,0.1,0.3,.250,0.3,1.4,.235,.262,0.2,0.4,.400,0.8,1.2,1.9,0.6,0.4,0.3,0.2,1.3,1.1,Undrafted,Undrafted,Undrafted,129,27.4,366,823,64,212,188,296,102,4.1,2.7,181,36,178,254,7.6,.445,.302,.635
355,Usman Garuba,F,2022,2022,,,,https://www.basketball-reference.com/players/g/garubus01.html,24,2,10.0,0.8,1.8,.432,0.2,0.8,.250,0.6,1.0,.583,.489,0.2,0.3,.714,0.9,2.6,3.5,0.7,0.4,0.5,0.3,1.2,2.0,"1st round (23rd pick, 23rd overall)",Houston Rockets,2021 NBA Draft,,,,,,,,,,,,,,,,,,,
